"Solution","Area","ObsFreq","Order","Solution_chr","avoidforest","avoidgrass","avoidwet","avoidpeat","nfm","plantations","nutrients","rice","integr_trees","silvo","legumes","biochar","ew","wetrestoration","peatrestoration","grassrestoration","reforestation","afforestation","BECCS"
"15,18",8548.19874542161,12148,"Order: 1","peatrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"15,18,19",2680.89624710304,3777,"Order: 2","peatrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"15,19",14267.7555829242,20267,"Order: 1","peatrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"17",4398462.64857623,4924367,"Order: 0","reforestation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17,19",377282.454754909,407943,"Order: 1","reforestation,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"18",46854.9072654309,42719,"Order: 0","afforestation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18,19",3863.93000562215,3517,"Order: 1","afforestation,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"19",583071.945972984,633084,"Order: 0","BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",19915914.2142318,21221067,"Order: 0","avoidgrass",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,18",3824686.93458799,4576338,"Order: 1","avoidgrass,afforestation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2,18,19",329350.66835766,444587,"Order: 2","avoidgrass,afforestation,BECCS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2,19",2460904.3674855,2855585,"Order: 1","avoidgrass,BECCS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1212807.09811162,1115358,"Order: 0","avoidwet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,18",46260.4077680751,39968,"Order: 1","avoidwet,afforestation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3,18,19",9329.41318150895,7919,"Order: 2","avoidwet,afforestation,BECCS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"3,19",109458.46736465,94520,"Order: 1","avoidwet,BECCS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",2099423.34630703,1754756,"Order: 0","avoidpeat",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,18",17137.176742909,14280,"Order: 1","avoidpeat,afforestation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4,18,19",14122.086947627,11737,"Order: 2","avoidpeat,afforestation,BECCS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4,19",52179.2909544266,43435,"Order: 1","avoidpeat,BECCS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",14140117.7559338,13294414,"Order: 0","nfm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5,19",2408980.75246522,2195401,"Order: 1","nfm,BECCS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",615313.108003279,517011,"Order: 0","plantations",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,13",2763840.17383602,2360412,"Order: 1","plantations,ew",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"6,13,19",713867.410481468,599740,"Order: 2","plantations,ew,BECCS",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"6,19",78386.7934444502,65153,"Order: 1","plantations,BECCS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",93856.8141970606,85462,"Order: 0","nutrients",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7,12",810431.286131771,843735,"Order: 1","nutrients,biochar",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"7,12,13",960171.448118402,892586,"Order: 2","nutrients,biochar,ew",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"7,12,13,14",177.156125010896,159,"Order: 3","nutrients,biochar,ew,wetrestoration",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"7,12,13,14,19",42.4063263551104,45,"Order: 4","nutrients,biochar,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
"7,12,13,15",31198.0600769545,28311,"Order: 3","nutrients,biochar,ew,peatrestoration",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
"7,12,13,15,18",52.6517117461305,47,"Order: 4","nutrients,biochar,ew,peatrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
"7,12,13,15,18,19",767.301527290125,645,"Order: 5","nutrients,biochar,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
"7,12,13,15,19",12379.2399134672,11501,"Order: 4","nutrients,biochar,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
"7,12,13,16",718069.218755636,613338,"Order: 3","nutrients,biochar,ew,grassrestoration",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"7,12,13,16,18",54762.3514181711,47371,"Order: 4","nutrients,biochar,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
"7,12,13,16,18,19",35374.4978483496,29730,"Order: 5","nutrients,biochar,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1
"7,12,13,16,19",72015.2580904714,66294,"Order: 4","nutrients,biochar,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
"7,12,13,17",279530.761622934,248500,"Order: 3","nutrients,biochar,ew,reforestation",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"7,12,13,17,19",90575.1861977425,79230,"Order: 4","nutrients,biochar,ew,reforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
"7,12,13,19",415961.25174612,400379,"Order: 3","nutrients,biochar,ew,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"7,12,14",261.073150972268,256,"Order: 2","nutrients,biochar,wetrestoration",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"7,12,14,19",54.1791123367648,56,"Order: 3","nutrients,biochar,wetrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"7,12,15",31327.7326412053,26719,"Order: 2","nutrients,biochar,peatrestoration",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7,12,15,18",14.4924914591839,13,"Order: 3","nutrients,biochar,peatrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"7,12,15,18,19",1.04849254058504,1,"Order: 4","nutrients,biochar,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
"7,12,15,19",6129.52061175735,5272,"Order: 3","nutrients,biochar,peatrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"7,12,16",3599092.87709967,3358479,"Order: 2","nutrients,biochar,grassrestoration",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"7,12,16,18",13069.603938641,11555,"Order: 3","nutrients,biochar,grassrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
"7,12,16,18,19",2185.76585818919,2032,"Order: 4","nutrients,biochar,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
"7,12,16,19",1194180.81305768,1146499,"Order: 3","nutrients,biochar,grassrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"7,12,17",19688.171771212,18080,"Order: 2","nutrients,biochar,reforestation",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"7,12,17,19",4514.97870201259,4428,"Order: 3","nutrients,biochar,reforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"7,12,19",494106.619911622,446797,"Order: 2","nutrients,biochar,BECCS",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"7,13",75595.7938192515,71541,"Order: 1","nutrients,ew",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7,13,14",307.44876369505,294,"Order: 2","nutrients,ew,wetrestoration",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"7,13,14,19",345.240038212704,408,"Order: 3","nutrients,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"7,13,15",5587.7088601869,5399,"Order: 2","nutrients,ew,peatrestoration",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"7,13,15,18",8.25521600030613,7,"Order: 3","nutrients,ew,peatrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"7,13,15,18,19",13.1183012943881,11,"Order: 4","nutrients,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
"7,13,15,19",839.485419961754,731,"Order: 3","nutrients,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"7,13,16",74772.1420521142,65689,"Order: 2","nutrients,ew,grassrestoration",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"7,13,16,18",23302.8426353205,20947,"Order: 3","nutrients,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"7,13,16,18,19",6277.90570252111,5287,"Order: 4","nutrients,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
"7,13,16,19",7149.6699615617,6095,"Order: 3","nutrients,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"7,13,17",148604.557855474,138154,"Order: 2","nutrients,ew,reforestation",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"7,13,17,19",22362.0719409545,19469,"Order: 3","nutrients,ew,reforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"7,13,19",24016.0043002292,21499,"Order: 2","nutrients,ew,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"7,14",609.729492630081,599,"Order: 1","nutrients,wetrestoration",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"7,14,19",177.44761922342,206,"Order: 2","nutrients,wetrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7,15",7932.60363986232,6818,"Order: 1","nutrients,peatrestoration",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7,15,18",10.3724057349608,9,"Order: 2","nutrients,peatrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"7,15,19",1371.351923651,1161,"Order: 2","nutrients,peatrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"7,16",863864.009155274,792144,"Order: 1","nutrients,grassrestoration",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"7,16,18",12614.5798149092,11028,"Order: 2","nutrients,grassrestoration,afforestation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"7,16,18,19",5893.08157723883,5040,"Order: 3","nutrients,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"7,16,19",181874.241912376,179274,"Order: 2","nutrients,grassrestoration,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"7,17",16131.5594535348,14477,"Order: 1","nutrients,reforestation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"7,17,19",1584.72442770559,1465,"Order: 2","nutrients,reforestation,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"7,19",21837.26753027,20642,"Order: 1","nutrients,BECCS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"7,8",2484.33868471105,2447,"Order: 1","nutrients,rice",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"7,8,12",84341.8574476922,102317,"Order: 2","nutrients,rice,biochar",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"7,8,12,13",510606.533935256,512226,"Order: 3","nutrients,rice,biochar,ew",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"7,8,12,13,14",281.283924364737,273,"Order: 4","nutrients,rice,biochar,ew,wetrestoration",0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
"7,8,12,13,14,18",0.852192228429794,1,"Order: 5","nutrients,rice,biochar,ew,wetrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
"7,8,12,13,14,18,19",1.20836714211661,1,"Order: 6","nutrients,rice,biochar,ew,wetrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
"7,8,12,13,14,19",507.936624453154,610,"Order: 5","nutrients,rice,biochar,ew,wetrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
"7,8,12,13,15",41550.050776527,37188,"Order: 4","nutrients,rice,biochar,ew,peatrestoration",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
"7,8,12,13,15,18",5.93986343938088,5,"Order: 5","nutrients,rice,biochar,ew,peatrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0
"7,8,12,13,15,18,19",84.4794471927727,71,"Order: 6","nutrients,rice,biochar,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1
"7,8,12,13,15,19",1435.03516454818,1471,"Order: 5","nutrients,rice,biochar,ew,peatrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1
"7,8,12,13,16",29107.7711145144,26759,"Order: 4","nutrients,rice,biochar,ew,grassrestoration",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
"7,8,12,13,16,18",22018.0307656849,20966,"Order: 5","nutrients,rice,biochar,ew,grassrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
"7,8,12,13,16,18,19",9804.23893527547,8259,"Order: 6","nutrients,rice,biochar,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1
"7,8,12,13,16,19",2893.17189120851,2506,"Order: 5","nutrients,rice,biochar,ew,grassrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1
"7,8,12,13,17",484415.869347427,454385,"Order: 4","nutrients,rice,biochar,ew,reforestation",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
"7,8,12,13,17,19",123337.302475592,136919,"Order: 5","nutrients,rice,biochar,ew,reforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1
"7,8,12,13,19",63924.9216612496,74117,"Order: 4","nutrients,rice,biochar,ew,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
"7,8,12,14",145.245672602643,163,"Order: 3","nutrients,rice,biochar,wetrestoration",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"7,8,12,14,18",11.8694672911983,11,"Order: 4","nutrients,rice,biochar,wetrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
"7,8,12,14,18,19",1.20630018748677,1,"Order: 5","nutrients,rice,biochar,wetrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1
"7,8,12,14,19",54.8623328341561,59,"Order: 4","nutrients,rice,biochar,wetrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
"7,8,12,15",1965.83863997919,1713,"Order: 3","nutrients,rice,biochar,peatrestoration",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"7,8,12,15,18,19",7.23699506972122,6,"Order: 5","nutrients,rice,biochar,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
"7,8,12,15,19",115.963338683179,98,"Order: 4","nutrients,rice,biochar,peatrestoration,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"7,8,12,16",93673.1303879596,99586,"Order: 3","nutrients,rice,biochar,grassrestoration",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"7,8,12,16,18",4610.80831655632,5360,"Order: 4","nutrients,rice,biochar,grassrestoration,afforestation",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
"7,8,12,16,18,19",230.106672505585,201,"Order: 5","nutrients,rice,biochar,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1
